target,num_stamps,overpayment,stamps
145,6,2,"[87, 48, 3, 3, 3, 3]"
145,6,1,"[87, 48, 3, 3, 3, 2]"
145,6,0,"[87, 48, 3, 3, 3, 1]"
145,6,0,"[87, 48, 3, 3, 2, 2]"
145,3,22,"[87, 40, 40]"
145,3,6,"[87, 40, 24]"
145,4,2,"[87, 40, 10, 10]"
145,5,2,"[87, 40, 10, 5, 5]"
145,5,1,"[87, 40, 10, 5, 4]"
145,5,0,"[87, 40, 10, 5, 3]"
145,6,1,"[87, 40, 10, 5, 2, 2]"
145,6,0,"[87, 40, 10, 5, 2, 1]"
145,5,0,"[87, 40, 10, 4, 4]"
145,6,2,"[87, 40, 10, 4, 3, 3]"
145,6,1,"[87, 40, 10, 4, 3, 2]"
145,6,0,"[87, 40, 10, 4, 3, 1]"
145,6,0,"[87, 40, 10, 4, 2, 2]"
145,6,1,"[87, 40, 10, 3, 3, 3]"
145,6,0,"[87, 40, 10, 3, 3, 2]"
145,6,2,"[87, 40, 5, 5, 5, 5]"
145,6,1,"[87, 40, 5, 5, 5, 4]"
145,6,0,"[87, 40, 5, 5, 5, 3]"
145,6,0,"[87, 40, 5, 5, 4, 4]"
145,4,14,"[87, 24, 24, 24]"
145,4,0,"[87, 24, 24, 10]"
145,5,0,"[87, 24, 24, 5, 5]"
145,6,3,"[87, 24, 24, 5, 4, 4]"
145,6,2,"[87, 24, 24, 5, 4, 3]"
145,6,1,"[87, 24, 24, 5, 4, 2]"
145,6,0,"[87, 24, 24, 5, 4, 1]"
145,6,1,"[87, 24, 24, 5, 3, 3]"
145,6,0,"[87, 24, 24, 5, 3, 2]"
145,6,2,"[87, 24, 24, 4, 4, 4]"
145,6,1,"[87, 24, 24, 4, 4, 3]"
145,6,0,"[87, 24, 24, 4, 4, 2]"
145,6,0,"[87, 24, 24, 4, 3, 3]"
145,6,6,"[87, 24, 10, 10, 10, 10]"
145,6,1,"[87, 24, 10, 10, 10, 5]"
145,6,0,"[87, 24, 10, 10, 10, 4]"
145,3,44,"[63, 63, 63]"
145,3,29,"[63, 63, 48]"
145,3,21,"[63, 63, 40]"
